Id,Make,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City,Fuel Consumption Hwy,Fuel Consumption Comb,CO2 Emissions(g/km)
1,FOLD,PICKUP TRUCK - STANDARD,3.5,6,A6,X,8.64 liters per 100 km,6.14 L/100 km,37.59 mpg Imp.,306
2,CHEVO,PICKUP TRUCK - STANDARD,5.3,,A6,E,27.27 liters per 100 km,30.76 liters per 100 km,28.84 L/100 km,283
3,BMV,SUBCOMPACT,4.4,,M6,Z,0.17 L/10km,2.03 liters per 100 km,zero,329
4,KIO,SUV - SMALL,,4,AS6,X,6.52 km per L,1.59 L/10km,,270
5,BARUSU,MINICOMPACT,3,6,unspecified,Z,20.15 L/100km,0.60 L/10km,1.38 L/10km,193
6,LECUS,COMPACT,unspecified,4,not-recorded,Z,5.57 MPG (AS),38.28 mpg Imp.,8.86 MPG (AS),217
7,GONDA,FULL-SIZE,1.8,4,AV7,X,7.52 L/100km,14.76 mpg Imp.,12.75 L/100 km,174
8,LAND CRAWLER,SUV - SMALL,2,4,AS8,Z,28.55 MPG (AS),2.06 liters per 100 km,18.33 km/L,246
9,CHEVO,SUV - STANDARD,3.6,,A9,X,9.16 mpg Imp.,2.08 L/10km,26.31 L/100km,278
10,FOLKSWA,COMPACT,2,4,AS6,X,43.84 km per L,18.13 L/100 km,-9999,202
11,TOYOTI,SUV - SMALL,2.5,4,AS6,X,27.73 liters per 100 km,2.27 L/100km,zero,216
12,BMV,SUBCOMPACT,3,6,M6,Z,19.01 liters per 100 km,33.07 mpg Imp.,6.99 km per L,236
13,TOYOTI,MINIVAN,2,4,AS6,X,0.22 L/10km,5.30 L/100 km,27.94 km per L,260
14,JIPU,SUV - SMALL,missing,6,unknown,X,9.06 L/100km,12.21 liters per 100 km,9.54 km/L,308
15,TOLVO,COMPACT,3,6,AS6,,23.39 liters per 100 km,17.53 mpg Imp.,4.97 km/L,248
16,KIO,SUV - SMALL,2.4,4,,,25.96 liters per 100 km,10.04 km per L,15.06 mpg Imp.,264
